Video_ID,min_avg_bpms,max_avg_bpms,total_blinks,total_face_touches,total_lip_compressions,angry,fear,happy,neutral,sad,surprise,total_mood_changes,heart_rate_diff,label
trial_lie_001,60.0,70.0,0.0,0.0,0,0.0,0.06304347826086956,0.29782608695652174,0.12608695652173912,0.08695652173913043,0.4260869565217391,176,10.0,1
trial_lie_002,58.0,87.0,0.0,0.0,0,0.24166666666666667,0.23444444444444446,0.4161111111111111,0.02666666666666667,0.065,0.01611111111111111,123,29.0,1
trial_lie_003,62.0,63.0,0.0,0.0,0,0.185,0.12,0.54,0.115,0.04,0.0,23,1.0,1
trial_lie_004,75.0,88.0,0.0,0.0,0,0.2225,0.2175,0.54,0.02,0.0,0.0,31,13.0,1
trial_lie_005,59.0,108.0,0.0,0.0,0,0.186875,0.188125,0.550625,0.044375,0.02625,0.00375,107,49.0,1
trial_lie_006,58.0,62.0,0.0,0.0,0,0.01,0.026,0.722,0.138,0.006,0.098,42,4.0,1
trial_lie_007,58.0,96.0,0.0,0.0,0,0.7114285714285714,0.11928571428571429,0.11571428571428571,0.007857142857142858,0.045714285714285714,0.0,61,38.0,1
trial_lie_008,78.0,78.0,0.0,0.0,0,0.65,0.2,0.1,0.0,0.05,0.0,18,0.0,1
trial_lie_009,59.0,98.0,0.0,0.0,0,0.9033333333333333,0.065,0.018333333333333333,0.013333333333333334,0.0,0.0,16,39.0,1
trial_lie_010,59.0,98.0,0.0,0.0,31,0.78375,0.06,0.08,0.05625,0.02,0.0,37,39.0,1
trial_lie_011,58.0,88.0,1.7,0.0,85,0.671,0.05,0.065,0.113,0.101,0.0,53,30.0,1
trial_lie_012,60.0,70.0,0.0,0.0,0,0.7166666666666667,0.09,0.016666666666666666,0.09333333333333334,0.08333333333333333,0.0,22,10.0,1
trial_lie_013,58.0,76.0,0.0,0.0,0,0.852,0.04,0.086,0.022,0.0,0.0,23,18.0,1
trial_lie_014,58.0,81.0,0.0,0.0,0,0.702,0.056,0.0,0.0,0.224,0.018,36,23.0,1
trial_lie_015,58.0,81.0,0.3333333333333333,0.0,0,0.327,0.06,0.0,0.065,0.548,0.0,87,23.0,1
trial_lie_016,58.0,120.0,0.3333333333333333,0.0,0,0.5527272727272727,0.02181818181818182,0.0,0.026363636363636363,0.3781818181818182,0.02090909090909091,65,62.0,1
trial_lie_017,58.0,100.0,0.36666666666666664,0.0,0,0.4238461538461539,0.003076923076923077,0.0,0.15076923076923077,0.4176923076923077,0.004615384615384616,90,42.0,1
trial_lie_018,58.0,105.0,0.0,0.0,0,0.435,0.02,0.0,0.008,0.533,0.004,78,47.0,1
trial_lie_019,58.0,108.0,0.0,0.0,0,0.6263636363636363,0.007272727272727273,0.031818181818181815,0.01090909090909091,0.3236363636363636,0.0,55,50.0,1
trial_lie_020,62.0,100.0,0.0,0.0,0,0.5733333333333334,0.02666666666666667,0.0,0.06666666666666667,0.3333333333333333,0.0,21,38.0,1
trial_lie_021,58.0,97.0,0.3333333333333333,0.0,0,0.38666666666666666,0.013333333333333334,0.0,0.006666666666666667,0.5933333333333334,0.0,48,39.0,1
trial_lie_022,60.0,106.0,0.5,0.0,0,0.6316666666666667,0.006666666666666667,0.035,0.03333333333333333,0.29333333333333333,0.0,96,46.0,1
trial_lie_023,60.0,106.0,0.0,0.0,0,0.6,0.006153846153846154,0.0,0.022307692307692306,0.37153846153846154,0.0,85,46.0,1
trial_lie_024,62.0,82.0,0.0,0.0,0,0.7028571428571428,0.04857142857142857,0.03142857142857143,0.0,0.2057142857142857,0.011428571428571429,43,20.0,1
trial_lie_025,58.0,86.0,0.0,0.0,0,0.6411111111111111,0.021111111111111112,0.0,0.0,0.32555555555555554,0.012222222222222223,68,28.0,1
trial_lie_026,58.0,77.0,0.0,0.0,0,0.6766666666666666,0.08,0.021111111111111112,0.0,0.2222222222222222,0.0,60,19.0,1
trial_lie_027,60.0,109.0,0.36666666666666664,0.0,0,0.62,0.01625,0.03,0.0,0.32875,0.005,50,49.0,1
trial_lie_028,63.0,92.0,0.0,0.0,0,0.6542857142857142,0.0,0.05142857142857143,0.0,0.29428571428571426,0.0,33,29.0,1
trial_lie_029,58.0,122.0,0.3333333333333333,0.0,0,0.6316666666666667,0.10166666666666667,0.0,0.006666666666666667,0.26,0.0,36,64.0,1
trial_lie_030,58.0,105.0,0.16666666666666666,0.0,0,0.4445454545454545,0.12181818181818181,0.014545454545454545,0.031818181818181815,0.37272727272727274,0.014545454545454545,70,47.0,1
trial_lie_031,59.0,130.0,0.6666666666666666,0.0,0,0.48125,0.07,0.0375,0.025,0.38625,0.0,45,71.0,1
trial_lie_032,77.0,113.0,1.2333333333333334,0.0,2,0.6885714285714286,0.07142857142857142,0.0,0.08857142857142856,0.02,0.13142857142857142,72,36.0,1
trial_lie_033,60.0,70.0,0.3,0.0,0,0.18818181818181817,0.014545454545454545,0.1390909090909091,0.6154545454545455,0.0,0.042727272727272725,91,10.0,1
trial_lie_034,60.0,70.0,0.0,0.0,0,0.76125,0.06125,0.0025,0.1425,0.0325,0.0,57,10.0,1
trial_lie_035,60.0,70.0,0.0,0.0,0,0.18666666666666668,0.0,0.1,0.67,0.0,0.043333333333333335,52,10.0,1
trial_lie_036,61.0,77.0,1.4333333333333333,0.0,0,0.1,0.057,0.425,0.418,0.0,0.0,111,16.0,1
trial_lie_037,59.0,90.0,1.0666666666666667,0.0,0,0.7,0.004285714285714286,0.04428571428571428,0.25142857142857145,0.0,0.0,68,31.0,1
trial_lie_038,61.0,64.0,1.1666666666666667,0.0,0,0.675,0.0033333333333333335,0.0,0.32166666666666666,0.0,0.0,65,3.0,1
trial_lie_039,82.0,121.0,0.0,0.0,0,0.21375,0.0,0.0,0.78625,0.0,0.0,38,39.0,1
